,catg_no,category2_no,category1_name,category2_name,category3_no,category3_name,href
50203,5,1k5g,市场,媒介/公关,0203,广告协调,https://www.lagou.com/zhaopin/guanggaoxietiao/
50204,5,1k5g,市场,媒介/公关,0204,媒介投放,https://www.lagou.com/zhaopin/meijietoufang/
50205,5,1k5g,市场,媒介/公关,0205,媒介合作,https://www.lagou.com/zhaopin/meijiehezuo/
50206,5,1k5g,市场,媒介/公关,0206,媒介顾问,https://www.lagou.com/zhaopin/meijieguwen/
50301,5,1k5g,市场,品牌/广告,0301,广告创意,https://www.lagou.com/zhaopin/guanggaochuangyi/
50302,5,1k5g,市场,品牌/广告,0302,广告制作,https://www.lagou.com/zhaopin/guanggaozhizuo/
50303,5,1k5g,市场,品牌/广告,0303,广告文案,https://www.lagou.com/zhaopin/guanggaowenan/
50304,5,1k5g,市场,品牌/广告,0304,广告投放,https://www.lagou.com/zhaopin/guanggaotoufang/
50305,5,1k5g,市场,品牌/广告,0305,广告定价,https://www.lagou.com/zhaopin/guanggaodingwei/
50306,5,1k5g,市场,品牌/广告,0306,广告专员,https://www.lagou.com/zhaopin/guanggaozhuanyuan/
50307,5,1k5g,市场,品牌/广告,0307,品牌合作,https://www.lagou.com/zhaopin/pinpaihezuo/
50308,5,1k5g,市场,品牌/广告,0308,品牌策划,https://www.lagou.com/zhaopin/pinpaicehua/
50309,5,1k5g,市场,品牌/广告,0309,品牌专员,https://www.lagou.com/zhaopin/pinpaizhuanyuan/
50310,5,1k5g,市场,品牌/广告,0310,美术指导,https://www.lagou.com/zhaopin/meishuzhidao/
50401,5,1k5g,市场,渠道/推广,0401,市场推广,https://www.lagou.com/zhaopin/shichangtuiguang1/
50402,5,1k5g,市场,渠道/推广,0402,渠道推广,https://www.lagou.com/zhaopin/qudaotuiguang1/
50403,5,1k5g,市场,渠道/推广,0403,SEO,https://www.lagou.com/zhaopin/SEO1/
50404,5,1k5g,市场,渠道/推广,0404,SEM,https://www.lagou.com/zhaopin/SEM1/
50501,5,1k5g,市场,高端职位,0501,策划经理,https://www.lagou.com/zhaopin/cehuajingli/
50502,5,1k5g,市场,高端职位,0502,媒介经理,https://www.lagou.com/zhaopin/meijiejingli1/
50503,5,1k5g,市场,高端职位,0503,市场总监,https://www.lagou.com/zhaopin/shichangzongjian1/
50504,5,1k5g,市场,高端职位,0504,公关总监,https://www.lagou.com/zhaopin/gongguanzoongjian/
50505,5,1k5g,市场,高端职位,0505,媒介总监,https://www.lagou.com/zhaopin/meijiezongjian/
50506,5,1k5g,市场,高端职位,0506,创意总监,https://www.lagou.com/zhaopin/chuangyizongjian/
60101,6,1k5h,销售,销售,0101,销售专员,https://www.lagou.com/zhaopin/xiaoshouzhuanyuan1/
60102,6,1k5h,销售,销售,0102,销售顾问,https://www.lagou.com/zhaopin/xiaoshouguwen1/
60103,6,1k5h,销售,销售,0103,销售经理,https://www.lagou.com/zhaopin/xiaoshoujingli1/
60104,6,1k5h,销售,销售,0104,客户代表,https://www.lagou.com/zhaopin/xiaoshoukehudaibiao/
60105,6,1k5h,销售,销售,0105,大客户代表,https://www.lagou.com/zhaopin/xiaoshoudakehudaibiao/
60106,6,1k5h,销售,销售,0106,客户经理,https://www.lagou.com/zhaopin/kehujingli/
60107,6,1k5h,销售,销售,0107,商务拓展,https://www.lagou.com/zhaopin/shangwutuozhan/
60108,6,1k5h,销售,销售,0108,渠道销售 ,https://www.lagou.com/zhaopin/xiaoshouqudaoxiaoshou/
60109,6,1k5h,销售,销售,0109,代理商销售,https://www.lagou.com/zhaopin/xiaoshoudailishangxiaoshou/
60110,6,1k5h,销售,销售,0110,电话销售,https://www.lagou.com/zhaopin/xiaoshoudianhuaxiaoshou/
60111,6,1k5h,销售,销售,0111,广告销售,https://www.lagou.com/zhaopin/guanggaoxiaoshou/
60112,6,1k5h,销售,销售,0112,信用卡销售,https://www.lagou.com/zhaopin/xinyongkaxiaoshou/
60113,6,1k5h,销售,销售,0113,保险销售,https://www.lagou.com/zhaopin/baoxianxiaoshou/
60114,6,1k5h,销售,销售,0114,销售工程师,https://www.lagou.com/zhaopin/xiaoshougongchengshi/
60115,6,1k5h,销售,销售,0115,商务渠道,https://www.lagou.com/zhaopin/xiaoshoushangwuqudao/
60116,6,1k5h,销售,销售,0116,其他销售,https://www.lagou.com/zhaopin/qitaxiaoshou/
60201,6,1k5h,销售,销售管理,0201,销售总监,https://www.lagou.com/zhaopin/xiaoshouzongjian1/
60202,6,1k5h,销售,销售管理,0202,商务总监,https://www.lagou.com/zhaopin/xiaoshoushangwuzongjian/
60203,6,1k5h,销售,销售管理,0203,区域总监,https://www.lagou.com/zhaopin/quyuzongjian/
60204,6,1k5h,销售,销售管理,0204,城市经理,https://www.lagou.com/zhaopin/chengshijingli/
60205,6,1k5h,销售,销售管理,0205,团队经理,https://www.lagou.com/zhaopin/tuanduijingli/
60206,6,1k5h,销售,销售管理,0206,销售VP,https://www.lagou.com/zhaopin/xiaoshouvp/
60207,6,1k5h,销售,销售管理,0207,商务主管,https://www.lagou.com/zhaopin/shangwuzhuguan/
